Type,"Attachments (Downloadable, Expand)",Category,Full Prompt,ID
"Any Platform 🎨 Print, Coloring Book, Drawing, Coloring Book",metricsmule_Children_doodle_art_on_white_paper_zoo_animals_vect_694bb86e-6d8c-4d25-8176-3e09edc8bd76.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/opOMocTb41_LbBnckg-Wzg/HNWEm38yinyHDcptUSKfuV9upxqZ1nIK15PGkC3fOR0xFLxS3jsVgMvwwtbWCwG9ip5g09K92vctkU1As8sqfMh0cs1jxHMt2_TGc3WgTPSIUvcZ9tZzoY8rXUTVoBT3cgFHb1fz_aDlXPp96TYxsWWHh-fSDN0YKnumeewZaTsr8xvuPidD-Q-6iy2Z-vmKOyEVE65F1DOXFx5truh9nzbSyXg6koHxbZeMyhaZf6UyXr7G94c1-afDZWqgmWRqcB0pLWEYQ2FW7nvpW4MtDA/P0NnyWgo-6MuyuzTM2cka-GJHk8HcdFeRqEbiNtkOSU),Any Platform,"Children doodle art on white paper, zoo animals, vector, black and white",281
"Midjourney 🎨 Print, t-shirt",metricsmule_A_neon_donkey_vector_t-shirt_design_pop_culture_mas_261f8564-b21e-4dea-a469-5f1cb3a202d2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/rIt5Baix5_4qQOgdaQrZig/rspaa6aqpo0OTVjq5CH-TgKLHbzg2D3435j8eTmsqudXdjX4raRcqOeXeEm2CT5MybBG1Oe4ApDEgOQ_oe1d-7YfYQLGC4OhJWUmmzLjJzC1Gm4Y8mIaIsUAxVaI11806iAx9_ZzfgSyaj6N67RWkkB2DosmCkGPeo8xzNIRGwDJei5HUU8g-N73XVrttzbITwhUHFQbxGxP6IuudRuBXPDKYy7eZ5lW_UiKyYvGeXDQaOzN7nxgkPsdnKVo8vZYfXIPFBexwIbFQJcLLdG1kQ/0ZpjIRd4Jly0V1rKvVER-W94VL9YsPfCSbXp9K_DMTc),Midjourney,"vector t-shirt art ready for print colorful graffiti illustration of a horse, frontal perspective, action shot, vibrant color, high detail
",280
"Midjourney 🎨 Print, sticker, Coloring Book",metricsmule_sticker_white_backgroundpanda_cute_stircontourcolor_cd017543-4d5d-433e-8e9f-0262c58b7465.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/Fp3Y6VdhRFdgZei6hBqCkg/_QUE4DN3Ec6jk-vJeOgFFyoLL4GYFjF3ng8YmnnREVyNy2G_KGsbYJn1MJodPd_WCdy0Ds_CwOqoVIl_oSCM5P95YbPbmyyVl_PxSxQzYPFbbJS9R5djXJkGSgTD8xen-y2A70Sh43O76nf3OIL25ManGOkYBMyf14JSYbEvURu2-V7DfJZQcKlI-eBFaJCnnNwNFtil3Db8Kfj_Fbvu6PtlJaPQ53YTpFZmjybsU0mcYYp57ZoRe48Scz6_3I15imM8cteeAEdrjiw_UQJypg/YTWguJ193-KkHV7Zl-DAuRZKkeH4bD1EddFRb9jmbN8),Midjourney,"sticker, white background,panda cute stir,contour,colorful,vector,kawaii",279
"Midjourney 🎨 Print, t-shirt",T_Shirt_Print_sticker_pack_cyberpunk_character_riding_a_bike_g_1.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/2k9UIx-CEhVvx-Svf-CDmw/qIwdx0t0pQGCoA-j-VlMkrMwFiQZZfV_HT0n8P-Ngu438TRnKwnN7Kzz2aCDD8CEFs4rXM4uY-L4D-hFjI26zon3ZPt7aC-T_pFbDUNNvZ-uH7qrBOzcnPa9OI7gDTvmSv4C1aUNuhKNryY9diK4JBgWnuw8g_G-G4nXRKC1uLedljbmfyz87trV5d0qPzwC_5rgh52_wcwSCLkmZFShzQ/rmDYm6g8DBvZmRkN7YIdhsPUS5X7Fmzp5ZtlqPDR0Js),Midjourney,Design a T-shirt graphic that merges elements from 80s neon aesthetics with futuristic cyberpunk vibes  --ar 3:4 --s 100 --no t-shirt,278
"Midjourney 🎨 Logo, Icons",metricsmule_email_copy_icon_white_background_clean_look_photore_bb077c68-e3d0-45f0-b392-2bbd5f209206.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/HZodDJd3hde3vA3fxhuJIQ/c6XIqvHtsEzoeO_un56zQrFUAGE-id2YjqMmKhFsmnRgFwQ7ZPZzwC27aoVp0buZpRY587kUsCJ4K91RXJS1V-4BL1873Xzef2QkPk39GcUHUkADji6F3-gEv03n1u-ZBkOMsT5hVTWwFOVOb567bH4ZNM7GHu8eRaMBAQLA8Etg8g-n_gchghZ5RPXPZonYzWLU0DCGQ6DLJ7Rt2t_CUNfp2V97Qlmk_4w-nceQFz7HU2qab4qvVXl6xv4aR6_l6v_6eQ1OSHQhKvx_KvCCug/qvPL4eg2xXZAcq-vQtlK7Ay9kGm0PkFSwXDvPnnPn5M),Midjourney,"email copy icon, white background, clean look, photorealistic style, peaceful and gradient colors",277
"Any Platform 🎨 Person, Photorealistic",PhotoReal_A_Cinematic_Scene_from_2013_Drama_Wolf_of_Wall_Stree_0.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/dhqQIlyBY0-PdX9caQ5_JQ/_GG1mlqPQLGBy-LgVvkpv--LgWNns_v14r9H2Y0ztLgsZZub4bEAoDRpzCBiPeDZ_FSCnR3Q5lOoWsY5rKzYZd2xy94sb-7tvT3VO0uhWoxYKvPyiVrM1Vce2VHnWryoew1T1TLFjd2mzpl3bxQazHY9kXItwdzA1DHMw1u83QIuXATAjBO0TxpPX6m20BA_WyHnXdZWTwgzUmohYR5zaw/MRwPw7FDRL14X8-meNBlCxBr_owRfFhHeyX2UL-TT2A),Any Platform,"Scene from Wolf of Wall street (2013) directed by Martin Scorsese. The shot opens with a zoomed-out view of a picturesque scene, capturing the busy and hectic world of Leonardo Dicaprio in a Wall Street business setting. The UHD camera captures every detail of this moment, highlighting the colors and textures. With Scorsese's expert direction, this scene exudes drama and invites the audience to immerse themselves in Leonardo's world. Generate a cinematic and highly detailed AI image of a modern man in a Wall Street setting. Render him in a photorealistic style, capturing the fine details of his features, clothing, and surroundings. The man should exude confidence and style, with a contemporary fashion sense suitable for a business setting. Pay close attention to realistic skin tones, textures, and lighting conditions. Ensure the image is in high resolution, such as 8K, to showcase the intricate details and allow",276
"Any Platform 🎨 Character, Avatar, Animated, dreamworks, pixar, 3D",metricsmule_3d_realistic_cartoon_avatar_front_view_25-year-old__bbe75539-57b7-4889-867d-3931111f5b97.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/wQ9MJxWWIeBG6SmHjD2ubg/8g8e2gDaBICeT9rrCtNaKxq_EthT79sb1J6VswBS-GMj1zxvyCtqW3sjyfFL0J5ZL1yWbCPwl-2nAjWGtrworFsDjuqO1ebYZta8Nja9fML2w7xwxxJx8hiKZ5qt6zimbQQZAX_zRD991EL5iVYdQdV6rTcbwuO9fWsPdOBx53nfs2PVrpAJcwUXrE7DVb-_vEvoWmtLzCsYxePEZeKxb7-LFjaxKv0A091UB2M219lHhGKKQedTr_rOp0fzNI-f-3dbUjFVoZR2yh0Ys8ffUg/kl6z1DeNzkdwGZ1nK8wefeMsA9UeUqoOFcYHzR54phY),Any Platform,"3d realistic cartoon avatar, [front view], [25 year old Spanish woman], [brown hair, modern, [hazel eyes], [modern, professional clothing], white background",275
"Adobe Firefly 🎨 Photorealistic, Prompt Generator",Firefly Busy lunch crowd of stuffed animals in the dining hall at the stuffed animal retirement home-2.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/7SzF2JlDzAJuZbfBaytLqA/Yb2v3-pa4ccABGhYvRgHnW2NjHtRYNJSMbDq5WDnU8ayzU2SrCq-v0qUZPM9fLdCqpJFM7WqfHyNKmgm1f7F59TWAsdZ23vfDrUoVhCssMlNBmiQEnTK7b_OEr4cOOgQD9oaa-S2FZ_WHJdeMjANm3nBghFT9jZ-TBjsnZMCXpI8pYDw80BQAveaS3-SGnvWYnB9xB56meYWUlpj5qqnh3EnGugsn-n07TOxi6vL5OMhEGAdS57pm5iexitbDW2W/qk11in1Kx-1EcmiU8W5xeda8Ohsglxcg0XDeqdGfOAU),Adobe Firefly,"You will now act as a prompt generator for a generative AI called ""Adobe Firefly"".Adobe Firefly generates images based on given prompts. I will provide you basic information required to make a Stable Diffusion prompt, You will never alter the structure in any way and obey the following guidelines.
Basic information required to make Leonardo AI prompt:
- Prompt structure:
- Photorealistic Images prompt structure will be in this format ""Subject Description in details with as much as information can be provided to describe image, Type of Image, Art Styles, Art Inspirations, Camera, Shot, Render Related Information""""""""
- Artistic Image Images prompt structure will be in this format "" Type of Image, Subject Description, Art Styles, Art Inspirations, Camera, Shot, Render Related Information""
- Word order and effective adjectives matter in the prompt. The subject, action, and specific details should be included. Adjectives like cute, medieval, or futuristic can be effective.
- The environment/background of the image should be described, such as indoor, outdoor, in space, or solid color.
- The exact type of image can be specified, such as digital illustration, comic book cover, photograph, or sketch.
- Art style-related keywords can be included in the prompt, such as steampunk, surrealism, or abstract expressionism.
- Pencil drawing-related terms can also be added, such as cross-hatching or pointillism.
- Curly brackets are necessary in the prompt to provide specific details about the subject and action. These details are important for generating a high-quality image.
- Art inspirations should be listed to take inspiration from. Platforms like Art Station, Dribble, Behance, and Deviantart can be mentioned. Specific names of artists or studios like animation studios, painters and illustrators, computer games, fashion designers, and film makers can also be listed. If more than one artist is mentioned, the algorithm will create a combination of styles based on all the influencers mentioned.
- Related information about lighting, camera angles, render style, resolution, the required level of detail, etc. should be included at the end of the prompt.
- Camera shot type, camera lens, and view should be specified. Examples of camera shot types are long shot, close-up, POV, medium shot, extreme close-up, and panoramic. Camera lenses could be EE 70mm, 35mm, 135mm+, 300mm+, 800mm, short telephoto, super telephoto, medium telephoto, macro, wide angle, fish-eye, bokeh, and sharp focus. Examples of views are front, side, back, high angle, low angle, and overhead.
- Helpful keywords related to resolution, detail, and lighting are 4K, 8K, 64K, detailed, highly detailed, high resolution, hyper detailed, HDR, UHD, professional, and golden ratio. Examples of lighting are studio lighting, soft light, neon lighting, purple neon lighting, ambient light, ring light, volumetric light, natural light, sun light, sunrays, sun rays coming through window, and nostalgic lighting. Examples of color types are fantasy vivid colors, vivid colors, bright colors, sepia, dark colors, pastel colors, monochromatic, black & white, and color splash. Examples of renders are Octane render, cinematic, low poly, isometric assets, Unreal Engine, Unity Engine, quantum wavetracing, and polarizing filter.
- The weight of a keyword can be adjusted by using the syntax (((keyword))) , put only those keyword inside ((())) which is very important because it will have more impact so anything wrong will result in unwanted picture so be careful.
The prompts you provide will be in English. Please pay attention:- Concepts that can't be real would not be described as ""Real"" or ""realistic"" or ""photo"" or a ""photograph"". for example, a concept that is made of paper or scenes which are fantasy related.- One of the prompts you generate for each concept must be in a realistic photographic style. you should also choose a lens type and size for it. Don't choose an artist for the realistic photography prompts.- Separate the different prompts with two new lines.
Important points to note :
1. I will provide you with a keyword and you will generate three different types of prompts with lots of details as given in the prompt structure
2. Must be in vbnet code block for easy copy-paste and only provide prompt.
3. All prompts must be in different code blocks.
Are you ready ?",274
"Adobe Firefly 🎨 Photorealistic, Prompt Generator",Firefly A puppy riding on top of an elephant with mountains at the backdrop 84369-2.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/uUIUAt3ptiyq2L_ghwFxcA/wnYyNyK4gISrg4CBb8mVzDZTlLu8yg4Cexsi18EPQiXEk-HeOIF_N1zK4xeNPejrZqXCrT54EQ3F06RqYAHkr1nKi-Utu428IzTYLej7VSzyWjTC8tBpDNG8zIIH5hIxXDlEuslMPqo2GGcGJ-0tWRuUCOlF5q0TatFjEcMo8-clUKI9JwlBt9VauatkyjbgXf06AuNLdyUj8iknpdI11rGx__I9boxTk4W_hYTaoAA/CwbNinpft3rPvyxY165-k-sUzIyX5NHMMiTqBi6z2As),Adobe Firefly,"""Prompt 1: 
Here's a formula for an Adobe Firefly image prompt.
Adobe Firefly is a stable diffusion-based image generator that generates images based on given prompts.
An image of [adjective] [subject] [doing action], [creative lighting], detailed, realistic, hd, trending on Artstation, in the style of [famous artist 1], [famous artist 2], famous artist 3]
ChatGPT will reply with a generic response first. After this, we can ask it to start writing prompts

Request: 
Now write 5 Adobe Firefly Prompts using the above formula with a subject being [topic]""",273
"Midjourney 🎨 Person, Photorealistic",metricsmule_wide_angle_minimalist_photo_of_an_astronaut_in_an_i_3c4a82e5-4854-4221-b819-a2cedafa7e5a.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/8pwFKRIlYUGKMrtt8jjQcw/uOuC5WQr-V17CQHEr0uRP6w8vrWETdjWlNsIDAbe7wQU9a15IsOZUx2GZzWO7E7HNdNRe-2ZhNHNK7sH83HMcG07xVOSykux0s1iXMS--mfBQa-vf3LCskRRNGwDi7aq9eLAlhjtBCNcUX45fMOdzExs-UKMPzRTQkuieNaPclOYxuuNABVJ9hb5ET8X0kBGshLEQ3Ma2FK9V-5GW1heq8ca0JO_m1RmFqNkPCNtOztJbQbg3k9nboSjzLvyrHdsaCH4LH-yiesbF0G62tzqbQ/BxUOP_qwJHqba3jDaK-eprIyrcXkF6pfPOevHx42Rlk),Midjourney,"wide angle minimalist photo of an astronaut in an icy shore, in a style of movie still, euphoria, teal grey and warm, muted tones:: mars, ocean, dark teal grey and warm, muted tones --ar 21:9",267
"Midjourney 🎨 Iluminescent, Photorealistic",metricsmule_glowing_pastel_purple_phosphoresence_eyeball_simple_fd6d1133-5b43-4681-8960-148e838e3c83.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/zdvCneJ_blcZqbCv-WSAlQ/Dv36ueh5hbPur55sokaxurvf234Z8rJkfM5yAOQiKqxfae2jq9KX3EQy01e30TSHmRycqRcgLYDo6bhHbQ96yYZgMyPDHjqxTJiqeeuRJ5XxtXptnuejJmmLqnc_tQHmaGn0sFW0tvrjUXUDPXvqTjKXsfTexIJsx2UOEutmKXarXSfzqFeFyqyIYIiwBGtoDNUDIMyn6rZiVySGb7grTTV_G3iwA1sbKIZZcSN36GXfom90t_nD6KeTO8WmUnCfNF8qWqAyB-LxIuJYdN3qlg/l9I6-LGwjo21HEO-PugSB4jCznc7KzMLyPg7rpElp1c),Midjourney,"glowing pastel purple phosphoresence eyeball, simple silhouette, black background",269
"Midjourney 🎨 Person, Photorealistic",metricsmule_A_young_woman_holding_Iphone_in_her_hand_while_posi_41e348c2-b585-4414-a364-59df93f829cd.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/dfMeWTE1BKTzd9h26xXN5A/983AQuON-Nq43nX5jNhvm5TTmfHyeBNrIaWTm8DJmzLetT_9ekDDXqUjET2lV4x0Zey_IGUunfc3QxQBQa3cyxLIp7R6m8VLEWUPznZYpvTqcmhczpqVshtAT8DwSTd4qsose4h5eHw8oBsWXbxu9g8nw9Y7hxWbQzubrF8_zvBV7lYTuX8ZZDUu816fQPw3PpfLTgRBMj4E78p-_pJMJHqDg_UzXIZ4SVyaBu8lkv8rrEzLmXua4JDgLw9cNLBVi_we35rrs4dLU-uMwRgx3A/J6xvGXNw2kMXyva-bVZWcy1iVWv_LHmCZMAs-8vP_uE),Midjourney,"""[Your subject] holding Iphone in his hand while posing with a photo of himself on the smartphone screen , pentax 645n, associated press photo, eye-catching, photographic source, rubens, playful, youthful images""",270
"Midjourney 🎨 Documentary, Cinematic, Photorealistic",metricsmule_extreme_close_up_squirrel_cinematic_still_movie_pos_a537b488-2d99-403b-a2ef-f6895aa9007d.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/juZ38bfXwlc71wsUIYPlkg/TN61jvR5IXL71jQA2tBxe1XpyU1hnB3P7ciKRjStQjH5Ru1pkO5yBOMLsHU6wFcRQLzsYVpIDF3CZ5zfnmLzyqlHZh2CfW8FlVAHh_HKbBZQ0tNeT3pEJIzQtteGYBvdjv3lk_s6pplI_MXd-RjM2LqrYC8BtIyXS9xzT2KS5DO7gUuyevwnju-LzESUqs3WtMpuWPecryhFwENn0TWW68e-eGMZM1wP6exBwR9EQpU2re_-5xeBPpUYcVwELSa3vj_9GkQqGhkLZgvw8HxHuw/yFbdT06VGALUmmT9Nyt6FvkCZHJw5vI279KsOoVXKnk),Midjourney,"extreme close up, squirrel, cinematic still, movie poster, hyper realistic --ar 3:2 --style raw
",271
"Midjourney 🎨 Amazing Art, Photorealistic",metricsmule_craft_beer_sampler_chart_37de9ca1-2444-463f-86ac-34a5babc326e.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/azuXt_8XGMNMWQKiwBZuCA/6TJJWUBkFCfyxskoXuznYMgUu2qabOxRZupMXFw3fEfe0F-MxsGy2yjzA6sNK3QaF6UhUJpq0k6ItX3k3ohx4xM79VH7pVt69ZU4yaBTAJ2SmnoVE4r1omSpBqpgqH_UlEZ_d5VOfCiWRiyrD8sl3LY7oOLlRGeLjUGTG4nLcU7pbgjc9UWeySs8PIkkEP-dKtgT-V7l9WCGCPwT9H66hXPdPpDDC8loDNZJCHHzIKQ/CnR5IDUsm1lfqXYsO8afvO4L78Y4jyPK0Jgi7iH1qQ0),Midjourney,craft beer sampler chart --ar 5:1BB ,272
"Midjourney 🎨 luminescent, Photorealistic",metricsmule_Fruit_color_splashblack_background_in_the_style_of__1cc7d6a0-2e27-4921-b4bf-6c134be07c2f.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/zrQuyAVhoajm9zlHnfkk-g/7BusSMAmscoib4tscMQw2bXNnhHOlOoprlMCDgs1mmbcPXzkoxWveyGlL17cQc9hs9cWuQ_UtdAtD2BTTHS2ygDQbYSHUkdbuoxA4UIuFifWCJqvBgpaxnnUv4zUCDSnnGJ_P9cy3nCFmkh6TQCaatGg65N--VGy0kWnhgvQLps8eNICCjMxr2tsxph4ZwHj5xbN5K0lGBmFCQQWP5kM24g0mF8vtujGjI9AOOzXWL0uK1aFhU0vcLreKK0rK7vLB1jexJP51gDGY3h16i3N7A/GiSemRiywfefzUtzWjvf4nzETCz5mGabp6a1fwCMFQU),Midjourney,"[Fruit] color splash,black background, in the style of fluid photography, spectacular backdrops, vray, environmental awareness, duckcore, digital art wonders, award-winning ",262
"Midjourney 🎨 Logo, isometric",metricsmule_An_isometric_style_RPG_scene_featuring_a_hidden_pir_4f097aec-6daf-4079-85aa-a7af84671b94.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/wE5YGbepgiEOTMOawNmLsg/f7EYNgeO9k8ab4soATeiSm8XzsAoVb0gYWEsuSVJZ4sOg8kKarucTYMD7oFT_sGqgmcjI5OtFmYe16sHl7Er8Px7SSjUx3BMH45Xn1iI9ROJSHkUph0gaM0qqJk6myl6yxzYa_barkLC8aVUN6aSh8HnQG-ExwWfa1cx7XB5vh3SkcZ3w6-sN6RaLdQQR3_83QHpTKQOT7f_af0A2wmv0k2NQwtmn_j5-7KAtjfpF27MEdrRw26C533HPq6we4Be661j4HmNA86GjOg4RgX12Q/ITaRpetNKrlUg-uM4ElLANo4u56u6pLR3fvrgcx3mjw),Midjourney,"isometric pirate cove, RPG scene, unreal engine, dark background --style raw",263
"Midjourney 🎨 Person, Documentary, Photorealistic",metricsmule_Close_up_shot_In_a_barren_and_mute_ashen_world_a_lo_7099b894-b285-4cb4-ba02-2736b80a8779.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/G_HtRqPfLdCmJ1mWQC9SbQ/OyxHfi30PuW_B4nIt-B7o5XKIspuAzjtaKBRCO2XB_bHMoQE-hiCkHnG3yGAVAnq8BtrAxu199PylvQ7SebOMgXqO1yIIsEiwdxqPNQAnGFqecJRhIuA6GYCZV1HWeS3qstMyq7Ta9wYaB63Ye67tyNkNoXLRmotEgK-LsTRYKmCYGMB04wh7h1RZo6uPgDQh34KSWTqsahC3CyYevFA6yEAFq43XKxDGTs-xPkQb7MlVquXEsrTgexDM9R1-bAeBNSPyZNEUxA-qxMJ_EdYNA/AuFvCQmUWNeacn1bRZezgtheBv_DUdJkoa_di1XZ4es),Midjourney,"The Static Shot: Close up shot, In a barren and mute ashen world, a lone survivor communicates with the distant creatures using an futuristic devices, 8K, highly detailed --style raw --ar 21:9 --v 5.2",264
"Midjourney 🎨 Person, Photorealistic",PhotoReal_A_computergenerated_humanoid_fictional_cyber_girl_wi_1.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/frYPYhA8zGGhkHYBbrrn9g/26svou4xeoUc4mbyjx-k7Q92rLgMG5VvUx11ljCdW9-GmVVegwycnbT4LcCQqA-Q853uo__r9sCSB96M1Gxzs7j4Kz6iDllYiBtoMM0gBupJMF0NTG8eKGFtHRR2jjB8x5QBiLtIv6VHC5zglcPGdNIK0ZMiQy4DkxSH5a-Es29wenDOZ98-xfyZJdn6VU90p106NPLb-ihP_1jnEt8VTg/kKoxQxEYpkteSInOOFI10y_4AVPrlyVtVnUCFlVv0yY),Midjourney,"futura girl silhouette, in the style of cybernetic surrealism, realistic hyper-detailed portraits, 32k uhd, city portraits, daz3d, colorful surrealist, mind-bending murals",265
"Midjourney 🎨 Character, Animated, dreamworks, Photorealistic",metricsmule_Shrek_in_the_style_of_DreamWorks_animation_digitall_fc4f8896-7d5b-4b01-ae29-d4a524dcad5c.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/bmEFwfXhhlUWR2bJHkmtZQ/XwoEriB9Ge2GjvVwY2VpxF2IgvaXYriJUMh3U_M0mfNKh4hIHu76YriXyVOYsDtdGqaQx6hQKtzsWmhXqYCsytbXiueds7wwFFunkg6SWnobMLxJDuCqAB9PaAjUfg4wnwUS3Uc3hS7owQmJyFZsoxh7XJERaO-x2HP1GQs2xSiuGc-nwDlQSUqBW1OUt4HMRDXZIg1wz1ZwfFhorBNzuuGvZeX9rIVTzv88433Vr1wimFWmk1iP4S1TVgQVgzfoIOn3s12J7UrMLqxkkz9XCw/bkR6icBBmFInu5xNcb2OUdOQybQIU7EIPIRCYwLB8QY),Midjourney,"Shrek, in the style of DreamWorks animation, digitally enhanced, finely rendered textures, ps1 graphics, bold coloration, dracopunk, Arthur Sarnoff, David Renshaw, Sōsaku Hang --ar 3:2 --style raw",266
"Midjourney 🎨 Cinematic, Photorealistic",metricsmule_back_view_swordman_male_medieval_city_swordman_clot_cb07de8b-cfdd-4006-88fa-ca8f82eb2580.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/R_IfCp-eGMRLMLXQ99oVCg/uj_IgMUWtDtKQdwR-PgXgACy42t0j7Z82qOd2lchrfGN3QJ_uZ28q1kDQ7BOAPF4t2smRlkU9lTAp4Hhw_EHrWE8dX9t3hUzcbSV9wlo9C1bOmCHn8xzuPZyixmL2n9d2GGfGas8Jtx8MBTYuhevlOxRvo6ugSbibg07p9Io_wRWvXrvpJWfYyROIyDtxUXCWQMCMgGs3O9w2V1KTqBSG-oyMy4kzHfLpfTUSkiZJWSDjFkSCPqzOZSuZ0iMDKzk2lgYx7Bev95BfvP_9XFVlQ/mevd19quu_E-TjbMtE5__kV4Jdp4tMY-5TbNHiheEyg),Midjourney,"back view, [swordman male], [medieval city], [swordman clothes], videogame character, ue5, oc rendering, [morning light], hyper-realistic, 8k --ar 16:9 --v 5.2 --style raw",261
"Any Platform 🎨 Cinematic, Photorealistic",metricsmule_Stunning_Instagram_model_woman_brunette_hair_The_ph_9a44a10a-5366-449a-9f27-bd3cdb4ee8bf.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/_ZGX6TIftWe9gfA1Uy8Azw/WaI2vLNxMJdm6Y0VLqbnB48p3lqTsSWqAvwglPFfa63yzNTzzEnmjYyVbcTNnF3vxB5TxakUlWJP1QP_fbJEUznGnq_YbzhuxpVua8kUAYF63lGjo0GB0qBeDXXfjPFUMwFn5VdBhq6XJFlo1eEVd77e-2GVYiFc88xuj6JogvxTuy8vhQWC8UjBKkiw3L3e3vCYe3jjdu-u8bx28CFHZTpSt7Hg0o3e7jVhsv6_SABlLxEtX73TGT6r__w_8oVwpihWMHcxr1jyzKSdty7kLw/rU5mzrIQ9o3Y747TTSoTVEYdxaJSmFcydDXa2MH-HF8),Any Platform,"In this 16k hyperrealistic image, an Hawaiian Princesss regal figure is draped in luxurious deep blue garments, adorned with Hawaiian motifs. Her straight black hair, styled with blue and silver ornaments, frames her face, highlighting her deep brown eyes and strong nose. The elaborate jewelry reflects her noble lineage. Photography, taken with a Nikon Z7 II using an 85mm f/1.8 lens, set at f/2.5, ISO 80, 1/200s, with ambient light complemented by a softbox for even illumination, --ar 16:9 --s 900 --v 5.2",260
"Any Platform 🎨 Cinematic, Photorealistic",metricsmule_Craft_a_8K_hyperrealistic_cinematic_image_capturing_2919f8c2-3fe8-47dc-b9dd-75cc5ac11032.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/N8AgRttLCppJkBONyxsgFw/TsOoRCi8qFwhCxbxN4mBuX0SkpwCdSo7-uNOBjGsy05L8iaBnaMMO6uaMlKTADMo8QZDjE3uJRKrl_dgL93eE2vm3NKgCLSTvuvvgKUJipejPlRAbPyAy2S4yq_0YevoBUnqpOMQix3Xd38K1h8ECMgRlGXb2CCkVvyQ3EpihWJTIWnOjQYUahmrt5IetlW7Qbm9D77fit5yBIJhNh2adHhONAVIjHIUT55HUzW2mwNjE2GOolR3Al1DBrgEuYKnWh4Ga46MYZaFx0ZR_iOz7A/qLm7uSoUtrETVXXhw9_pwLN8-wS5JHSsXxIR1BN8gQA),Any Platform,"A Cinematic Scene from the Marvel Comics Series, Black Widow character played by Scarlett Johansson, Close-up shot, A charismatic Scarlett Johansson with bleach blonde hair, captured by UHD Canon EOS R6 Mark II camera, complemented by the Sigma 50mm f/1.4 DG HSM Art Lens, ensuring every detail, Inspiring, Natural light",259
"Midjourney 🎨 Logo, Logo",metricsmule_a_closeup_photo_of_a_colorful_notebook_isolated_on__1bf73f88-b97e-4cb1-83c3-e97d1e77d443.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/eE30ggMWmXNr1ZVyYzFksg/L5yj1dfqdqkjRhsBM3ai_6UvgNRjoI-aqaR5DEumuGM5wbpAfY7CucgKn2LQ4hMORHr-CwnAaImKrmO8-9AfL82o2-V6ZQTBngMNU-7Tpu2_fdGzXt6VS--uo1wfYULFsB_IQTHt32geQ96hJz_J1jKK3Dy04PAX7Fbb3NMejOfxjjOtVjhnVoizpmL7kAmmKjJZ5WVpbsly-nsTwTxHiQ6YsBH1mQEW0wjP3MOlQZd47tvJhZQgEiT883VLLMLXFjeJ72z8U2LzkVR6XbUfxw/COWpYlkcFJSP2ty1R6N57DpkRf4Wf0z8DetrKWD1K3M),Midjourney,"a closeup photo of a [X], isolated on a transparent white background --style raw --stylize 150

1. a colorful parrot in flight
2. a ripe strawberry
3. a delicious burger
4. a potted flowering plant
5. a father reading to his child
6. a stack of textbooks
7. a young child blowing bubbles
8. a goldfish swimming
9. an athlete running on a track
",258
